dive_id,mode,date,depth,time,max_depth,depth_minus,max_depth_minus,duration,temp,date_lub,date_lub_min,date_day
10,3,2023-01-20 11:21:21,3.86,2,8.15,-3.86,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,4.89,4,8.15,-4.89,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,5.83,6,8.15,-5.83,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.07,8,8.15,-7.07,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,8.15,10,8.15,-8.15,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.94,12,8.15,-7.94,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.74,14,8.15,-7.74,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.7,16,8.15,-7.7,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.83,18,8.15,-7.83,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.8,20,8.15,-7.8,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.77,22,8.15,-7.77,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.7,24,8.15,-7.7,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,7.96,26,8.15,-7.96,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,8.07,28,8.15,-8.07,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,6.63,30,8.15,-6.63,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,5.75,32,8.15,-5.75,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,5.01,34,8.15,-5.01,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,3.4,36,8.15,-3.4,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,2.03,38,8.15,-2.03,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,1.84,40,8.15,-1.84,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,1.63,42,8.15,-1.63,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,1.44,44,8.15,-1.44,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
10,3,2023-01-20 11:21:21,0.46,46,8.15,-0.46,-8.15,46,24.9999943,2023-01-20T11:21:21Z,2023-01-20T11:21:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,2.05,0,8.83,-2.05,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,2.93,2,8.83,-2.93,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,4.2,4,8.83,-4.2,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,4.84,6,8.83,-4.84,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,5.62,8,8.83,-5.62,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,6.29,10,8.83,-6.29,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,6.95,12,8.83,-6.95,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,6.5,14,8.83,-6.5,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,6.27,16,8.83,-6.27,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,6.49,18,8.83,-6.49,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,7.08,20,8.83,-7.08,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,7.36,22,8.83,-7.36,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,7.71,24,8.83,-7.71,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,8.39,26,8.83,-8.39,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,8.69,28,8.83,-8.69,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,8.67,30,8.83,-8.67,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,8.5,32,8.83,-8.5,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,8.35,34,8.83,-8.35,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,7.28,36,8.83,-7.28,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,5.7,38,8.83,-5.7,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,5.53,40,8.83,-5.53,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,4.6,42,8.83,-4.6,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,3.89,44,8.83,-3.89,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,2.52,46,8.83,-2.52,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,1.62,48,8.83,-1.62,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
11,3,2023-01-20 11:26:46,0.57,50,8.83,-0.57,-8.83,50,24.9999943,2023-01-20T11:26:46Z,2023-01-20T11:27:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,2,0,10.38,-2,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,2.98,2,10.38,-2.98,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,3.95,4,10.38,-3.95,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,4.51,6,10.38,-4.51,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,5.16,8,10.38,-5.16,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,5.96,10,10.38,-5.96,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,6.84,12,10.38,-6.84,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
12,3,2023-01-20 11:32:46,7.94,14,10.38,-7.94,-10.38,48,24.9999943,2023-01-20T11:32:46Z,2023-01-20T11:33:00Z,2023-01-20T00:00:00Z
